layer                                     name  gradient   parameters                shape         mu      sigma
+-------+-------------+---------+
| Index | Class       | AP      |
+-------+-------------+---------+
| 0     | aeroplane   | 0.70197 |
| 1     | bicycle     | 0.72566 |
| 2     | bird        | 0.61324 |
| 3     | boat        | 0.47218 |
| 4     | bottle      | 0.44288 |
| 5     | bus         | 0.64704 |
| 6     | car         | 0.74072 |
| 7     | cat         | 0.73300 |
| 8     | chair       | 0.49020 |
| 9     | cow         | 0.69152 |
| 10    | diningtable | 0.59543 |
| 11    | dog         | 0.71286 |
| 12    | horse       | 0.75608 |
| 13    | motorbike   | 0.72654 |
| 14    | person      | 0.75807 |
| 15    | pottedplant | 0.37846 |
| 16    | sheep       | 0.65847 |
| 17    | sofa        | 0.56258 |
| 18    | train       | 0.71973 |
| 19    | tvmonitor   | 0.62683 |
+-------+-------------+---------+
---- mAP 0.63767 ----
Train epoch[76]: [49/518], total loss: 2.561126470565796 lr:0.0070704
Train epoch[76]: [99/518], total loss: 2.514843702316284 lr:0.0070704
Train epoch[76]: [149/518], total loss: 2.6253726482391357 lr:0.0070704
Train epoch[76]: [199/518], total loss: 2.752584934234619 lr:0.0070704
Train epoch[76]: [249/518], total loss: 2.5302071571350098 lr:0.0070704
Train epoch[76]: [299/518], total loss: 2.6212480068206787 lr:0.0070704
Train epoch[76]: [349/518], total loss: 2.9242782592773438 lr:0.0070704
Train epoch[76]: [399/518], total loss: 2.768838405609131 lr:0.0070704
Train epoch[76]: [449/518], total loss: 2.5946662425994873 lr:0.0070704
Train epoch[76]: [499/518], total loss: 2.8862385749816895 lr:0.0070704
Train epoch[77]: [49/518], total loss: 2.674593687057495 lr:0.0069968
Train epoch[77]: [99/518], total loss: 2.7443015575408936 lr:0.0069968
Train epoch[77]: [149/518], total loss: 2.372924327850342 lr:0.0069968
Train epoch[77]: [199/518], total loss: 2.6521952152252197 lr:0.0069968
Train epoch[77]: [249/518], total loss: 2.4724152088165283 lr:0.0069968
Train epoch[77]: [299/518], total loss: 2.4964993000030518 lr:0.0069968
Train epoch[77]: [349/518], total loss: 2.545668125152588 lr:0.0069968
Train epoch[77]: [399/518], total loss: 2.526472806930542 lr:0.0069968
Train epoch[77]: [449/518], total loss: 2.7605526447296143 lr:0.0069968
Train epoch[77]: [499/518], total loss: 2.668998956680298 lr:0.0069968
Train epoch[78]: [49/518], total loss: 2.95308518409729 lr:0.0069227
Train epoch[78]: [99/518], total loss: 2.628967523574829 lr:0.0069227
Train epoch[78]: [149/518], total loss: 2.6056907176971436 lr:0.0069227
Train epoch[78]: [199/518], total loss: 2.731816291809082 lr:0.0069227
Train epoch[78]: [249/518], total loss: 2.5503556728363037 lr:0.0069227
Train epoch[78]: [299/518], total loss: 2.6759047508239746 lr:0.0069227
Train epoch[78]: [349/518], total loss: 2.372514009475708 lr:0.0069227
Train epoch[78]: [399/518], total loss: 2.4975337982177734 lr:0.0069227
Train epoch[78]: [449/518], total loss: 2.384525775909424 lr:0.0069227
Train epoch[78]: [499/518], total loss: 2.5077271461486816 lr:0.0069227
